A,Agilent Technologies Inc. Common Stock,38038437773,United States,1999,1033656,Capital Goods,Biotechnology: Laboratory Analytical Instruments
AACQ,Artius Acquisition Inc. Class A Common Stock,909247500,United States,2020,3220823,Basic Industries,Major Chemicals
AACQU,Artius Acquisition Inc. Unit ,0,United States,2020,434336,Basic Industries,Major Chemicals
AACQW,Artius Acquisition Inc Warrant,0,United States,2020,333218,Basic Industries,Major Chemicals
AAIC,Arlington Asset Investment Corp Class A (new),132614932,United States,,187666,Consumer Services,Real Estate Investment Trusts
AAIC^B,Arlington Asset Investment Corp 7.00% ,,United States,,3326,,
AAIC^C,Arlington Asset Investment Corp 8.250% Seies C Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock   ,,United States,,4369,,
AAL,American Airlines Group Inc. Common Stock,15428980296,United States,,39633659,Transportation,Air Freight/Delivery Services
AAMC,Altisource Asset Management Corp Com,36623944,United States,,39789,Finance,Real Estate
AAME,Atlantic American Corporation Common Stock,73290722,United States,,148624,Finance,Life Insurance
AAN,Aarons Holdings Company Inc. Common Stock ,861279659,United States,2020,241135,Technology,Diversified Commercial Services
AAOI,Applied Optoelectronics Inc. Common Stock,212796234,United States,2013,471121,Technology,Semiconductors
AAON,AAON Inc. Common Stock,3700353538,United States,,120296,Capital Goods,Industrial Machinery/Components
AAP,Advance Auto Parts Inc Advance Auto Parts Inc W/I,12192128829,United States,,630988,Consumer Services,Other Specialty Stores
AAPL,Apple Inc. Common Stock,2.08E+12,United States,1980,85521340,Technology,Computer Manufacturing
AAT,American Assets Trust Inc. Common Stock,1993810965,United States,2011,264362,Consumer Services,Real Estate Investment Trusts
AAU,Almaden Minerals Ltd. Common Shares,69667309,Canada,2015,1784521,Basic Industries,Precious Metals
AAWW,Atlas Air Worldwide Holdings NEW Common Stock,1723257180,United States,,404643,Transportation,Transportation Services
AB,AllianceBernstein Holding L.P.  Units,3903379715,United States,,256138,Finance,Investment Managers
ABBV,AbbVie Inc. Common Stock,1.88E+11,United States,2012,5351016,Health Care,Major Pharmaceuticals
ABC,AmerisourceBergen Corporation Common Stock,24372314219,United States,,839440,Health Care,Other Pharmaceuticals
ABCB,Ameris Bancorp Common Stock,3706514123,United States,1994,410786,Finance,Major Banks
ABCL,AbCellera Biologics Inc. Common Shares,7181929650,Canada,2020,3578265,Health Care,Major Pharmaceuticals
ABEO,Abeona Therapeutics Inc. Common Stock,181771637,United States,,1064933,Health Care,Major Pharmaceuticals
ABG,Asbury Automotive Group Inc Common Stock,3886383908,United States,2002,223389,Consumer Durables,Automotive Aftermarket
ABGI,ABG Acquisition Corp. I Class A Ordinary Shares,188685688,United States,2021,1948,Finance,Business Services
ABIO,ARCA biopharma Inc. Common Stock,50723703,United States,,279490,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
ABM,ABM Industries Incorporated Common Stock,3432979744,United States,,466735,Finance,Diversified Commercial Services
ABMD,ABIOMED Inc. Common Stock,14016171744,United States,,217173,Health Care,Medical/Dental Instruments
ABNB,Airbnb Inc. Class A Common Stock,1.09E+11,United States,2020,2899652,Finance,Diversified Commercial Services
ABR,Arbor Realty Trust Common Stock,1970353011,United States,2004,2111795,Consumer Services,Real Estate Investment Trusts
ABR^A,Arbor Realty Trust Preferred Series A,,United States,,1625,,
ABR^B,Arbor Realty Trust Cumulative Redeemable Preferred Series B,,United States,,2194,,
ABR^C,Arbor Realty Trust Cumulative Redeemable Preferred Series C,,United States,,9294,,
ABST,Absolute Software Corporation Common Stock,644411852,Canada,2020,713858,Technology,Computer Software: Prepackaged Software
ABT,Abbott Laboratories Common Stock,2.12E+11,United States,,5054396,Health Care,Major Pharmaceuticals
ABTX,Allegiance Bancshares Inc. Common Stock,825232331,United States,2015,83615,Finance,Major Banks
ABUS,Arbutus Biopharma Corporation Common Stock,304755932,Canada,,977981,Health Care,Major Pharmaceuticals
AC,Associated Capital Group Inc. Common Stock,810524163,United States,2015,14120,Finance,Investment Bankers/Brokers/Service
ACAC,Acies Acquisition Corp. Class A Ordinary Share,266102813,United States,2020,49445,Technology,Computer Software: Prepackaged Software
ACACU,Acies Acquisition Corp. Unit,0,United States,2020,1304,Technology,Computer Software: Prepackaged Software
ACACW,Acies Acquisition Corp. Warrant,0,United States,2020,22307,Technology,Computer Software: Prepackaged Software
ACAD,ACADIA Pharmaceuticals Inc. Common Stock,4114820454,United States,1985,1038137,Health Care,Major Pharmaceuticals
ACAHU,Atlantic Coastal Acquisition Corp. Unit,0,United States,2021,79615,Finance,Business Services
